item_id,hour_offset,exposure,dataset
1,57,1,train
1,58,1,train
1,59,11,train
1,60,15,train
1,61,4,train
1,62,6,train
1,63,8,train
1,64,2,train
1,67,1,train
1,71,2,train
1,73,1,train
1,75,2,train
1,76,3,train
1,78,1,train
1,79,1,train
1,84,1,train
1,85,4,train
1,86,1,train
1,87,1,train
1,89,1,train
1,90,1,train
1,100,4,train
1,101,3,train
1,103,3,train
1,104,4,train
1,105,1,train
1,107,1,train
1,108,1,train
1,109,1,train
1,126,3,train
1,130,2,train
2,84,1,train
2,87,2,train
2,100,2,train
3,129,1,train
3,130,3,train
3,132,4,train
4,57,1,train
4,58,2,train
4,59,9,train
4,61,1,train
4,63,1,train
4,65,1,train
4,84,1,train
5,94,1,train
5,97,2,train
5,98,1,train
5,99,3,train
5,100,4,train
5,101,3,train
5,102,2,train
5,103,1,train
6,108,14,train
6,109,11,train
6,110,6,train
6,111,14,train
6,112,27,train
6,113,33,train
6,114,19,train
6,115,7,train
6,116,5,train
6,117,2,train
6,118,6,train
6,119,1,train
6,120,2,train
6,121,2,train
6,122,6,train
6,123,3,train
6,124,7,train
6,125,1,train
6,126,1,train
6,127,1,train
6,128,1,train
6,129,2,train
6,131,1,train
7,67,1,train
7,75,1,train
7,76,1158,train
7,77,2125,train
7,78,2086,train
7,79,1738,train
7,80,910,train
7,81,995,train
7,82,1026,train
7,83,1047,train
7,84,640,train
7,85,2,train
7,98,1,train
7,100,2,train
7,101,2,train
7,102,12,train
7,103,9,train
7,104,8,train
7,105,11,train
7,106,9,train
7,107,10,train
7,108,2,train
8,112,1,train
8,113,11,train
8,114,7,train
8,115,9,train
8,116,8,train
8,117,2,train
8,118,2,train
8,119,1,train
8,120,3,train
8,121,3,train
8,122,14,train
8,123,25,train
8,124,31,train
8,125,22,train
8,126,21,train
8,127,21,train
8,128,18,train
8,129,9,train
8,130,6,train
8,131,9,train
8,132,2,train
8,133,3,train
8,134,5,train
8,135,3,train
8,138,1,train
8,154,1,test
9,-1,13,train
9,0,19,train
9,1,20,train
9,2,29,train
9,3,55,train
9,4,71,train
9,5,46,train
9,12,1,train
9,14,1,train
9,18,1,train
9,27,1,train
9,30,1,train
9,32,1,train
9,34,1,train
9,35,1,train
9,37,1,train
9,46,1,train
9,48,1,train
9,51,1,train
9,54,1,train
9,56,2,train
9,57,1,train
9,58,1,train
9,59,2,train
9,71,1,train
9,75,1,train
9,77,1,train
9,78,2,train
9,79,3,train
9,80,2,train
9,81,40,train
9,82,130,train
9,83,70,train
9,84,53,train
9,85,53,train
9,86,37,train
9,87,35,train
9,88,31,train
9,89,12,train
9,90,13,train
9,92,3,train
9,97,1,train
9,98,1,train
9,99,2,train
9,100,4,train
9,101,3,train
9,102,1,train
9,104,3,train
9,106,1,train
10,55,6,train
10,56,1,train
11,34,1,train
11,35,1,train
11,36,2,train
11,37,5,train
11,38,8,train
11,39,8,train
11,40,10,train
11,41,5,train
11,42,3,train
11,43,5,train
11,44,2,train
11,45,3,train
11,46,1,train
11,48,2,train
11,50,4,train
11,51,9,train
11,52,14,train
11,53,15,train
11,54,13,train
11,55,13,train
11,56,16,train
11,57,10,train
11,58,7,train
11,60,2,train
11,61,1,train
11,66,1,train
11,68,1,train
11,77,1,train
11,78,1,train
12,4,6,train
12,5,7,train
12,6,6,train
12,7,7,train
12,8,2,train
12,9,4,train
12,10,6,train
12,11,5,train
12,12,4,train
12,13,1,train
12,14,2,train
12,15,4,train
12,16,3,train
12,17,2,train
12,18,3,train
12,19,1,train
12,20,1,train
12,32,1,train
13,43,1,train
13,44,2,train
13,45,41,train
14,101,1,train
14,104,1,train
14,105,5,train
14,106,12,train
14,107,8,train
14,108,9,train
14,109,3,train
15,95,1,train
15,96,2,train
15,97,5,train
15,98,26,train
15,99,29,train
15,100,48,train
15,101,51,train
15,102,3,train
15,103,1,train
15,104,2,train
15,107,1,train
15,108,1,train
16,87,1,train
16,88,2,train
16,89,1,train
16,90,4,train
16,93,1,train
16,100,1,train
17,-1,1,train
17,0,1,train
17,1,3,train
17,2,3,train
17,3,7,train
17,4,10,train
17,5,12,train
17,6,15,train
17,7,11,train
17,8,8,train
17,9,9,train
17,10,12,train
17,11,6,train
17,12,10,train
17,13,7,train
17,14,10,train
17,15,9,train
17,16,5,train
17,17,6,train
17,18,6,train
17,19,3,train
17,20,2,train
17,21,2,train
17,22,3,train
17,23,5,train
17,24,6,train
17,25,1,train
17,26,7,train
17,27,6,train
17,28,10,train
17,29,15,train
17,30,14,train
17,31,12,train
17,32,8,train
17,33,8,train
17,34,9,train
17,35,10,train
17,36,7,train
17,37,7,train
17,38,3,train
17,39,7,train
17,40,5,train
17,41,5,train
17,42,7,train
17,43,2,train
17,44,2,train
17,45,3,train
17,46,3,train
17,50,2,train
17,51,6,train
17,52,7,train
17,53,11,train
17,54,11,train
17,55,13,train
17,56,9,train
17,57,12,train
17,58,8,train
17,59,13,train
17,60,2,train
17,64,2,train
17,76,1,train
17,77,1,train
17,80,1,train
17,82,1,train
17,83,1,train
17,84,1,train
17,87,1,train
17,100,1,train
17,104,1,train
17,105,2,train
17,107,1,train
18,107,1,train
18,108,4,train
18,125,1,train
19,63,1,train
19,65,1,train
19,70,1,train
19,72,1,train
19,74,1,train
19,76,4,train
19,77,5,train
19,78,2,train
19,79,10,train
19,80,2,train
19,81,505,train
19,82,392,train
19,83,428,train
19,84,301,train
19,85,237,train
19,86,130,train
19,87,132,train
19,88,18,train
19,89,41,train
19,90,21,train
19,91,22,train
19,92,16,train
19,93,11,train
19,94,9,train
19,95,4,train
19,96,10,train
19,97,15,train
19,98,21,train
19,99,36,train
19,100,39,train
19,101,56,train
19,102,56,train
19,103,44,train
19,104,56,train
19,105,58,train
19,106,37,train
19,107,42,train
19,108,60,train
19,109,43,train
19,110,21,train
19,111,32,train
19,112,24,train
19,113,8,train
19,114,4,train
19,115,1,train
20,61,3,train
20,62,13,train
20,63,5,train
20,64,6,train
20,65,3,train
20,66,2,train
20,67,2,train
20,69,2,train
20,70,1,train
20,71,1,train
20,72,1,train
20,73,1,train
20,74,1,train
20,75,8,train
20,76,13,train
20,77,12,train
20,78,18,train
20,79,10,train
20,80,1,train
20,81,13,train
20,82,12,train
20,83,22,train
20,84,11,train
20,85,8,train
20,86,4,train
20,87,12,train
20,88,5,train
20,89,5,train
20,90,1,train
20,91,2,train
20,92,2,train
20,93,2,train
20,94,2,train
20,95,2,train
20,96,2,train
20,99,4,train
20,100,7,train
20,101,13,train
20,102,13,train
20,103,12,train
20,104,12,train
20,105,9,train
20,106,7,train
20,107,13,train
20,108,10,train
20,109,12,train
20,110,6,train
20,111,4,train
20,112,1,train
20,113,6,train
20,114,2,train
20,115,2,train
20,116,1,train
20,120,1,train
20,122,4,train
20,124,5,train
20,125,9,train
20,127,6,train
20,128,3,train
20,129,6,train
20,130,4,train
20,131,5,train
20,132,6,train
20,133,6,train
20,134,3,train
20,135,1,train
20,136,2,train
20,137,1,train
20,152,3,test
20,153,4,test
20,154,1,test
20,155,3,test
21,129,5,train
22,32,2,train
22,34,2,train
22,36,2,train
22,39,1,train
22,40,1,train
22,41,2,train
22,48,1,train
22,51,4,train
22,52,3,train
23,58,2,train
23,59,6,train
23,60,22,train
23,61,10,train
23,62,1,train
23,63,2,train
23,64,3,train
23,65,10,train
23,66,3,train
23,67,3,train
23,68,1,train
23,76,1,train
23,77,1,train
24,113,1,train
24,124,1,train
24,125,2,train
24,127,10,train
24,128,92,train
24,129,1,train
25,101,1,train
25,102,1,train
25,103,1,train
25,104,2,train
25,105,21,train
25,106,70,train
25,107,1078,train
25,108,526,train
25,109,16,train
25,110,2,train
25,111,8,train
25,112,6,train
25,113,3,train
25,114,3,train
25,116,1,train
25,124,2,train
25,128,3,train
25,133,1,train
25,137,1,train
26,89,1,train
26,90,2,train
26,91,4,train
26,92,3,train
26,93,1,train
26,94,2,train
26,95,4,train
26,97,1,train
26,98,6,train
26,99,5,train
26,100,15,train
26,101,4,train
26,102,3,train
27,111,1,train
27,120,1,train
27,123,8,train
27,124,55,train
27,125,126,train
27,126,127,train
27,127,99,train
27,128,110,train
27,129,155,train
27,130,176,train
27,131,137,train
27,132,101,train
27,133,67,train
27,134,48,train
27,135,49,train
27,136,31,train
27,137,15,train
27,138,17,train
27,139,8,train
27,140,8,train
27,141,1,train
27,142,1,train
28,106,1,train
28,107,1,train
28,108,3,train
28,109,1,train
28,110,1,train
29,123,4,train
29,124,11,train
29,125,1,train
30,50,2,train
30,51,6,train
30,52,6,train
30,53,2,train
30,54,4,train
30,55,6,train
30,56,4,train
30,57,3,train
30,58,6,train
30,59,3,train
31,81,1,train
31,82,1,train
31,84,1,train
31,85,5,train
31,86,123,train
